content,content_stemmed,label_roberta,label_rating,label_leksikon,label
Ribet amat bca mah mending bri buka rekening online cepet ga kayak bca ribet,"['ribet', 'bca', 'mah', 'mending', 'bri', 'buka', 'rekening', 'online', 'cepat', 'tidak', 'kayak', 'bca', 'ribet']",Negative,Negative,Negative,Negative
"Mohon dibantu kendala ketika checklist tidak bisa keduanya, hanya salah satu otomatis tidak bisa login bca Mobile, mohon segera perbaiki dan sarannya tks","['mohon', 'bantu', 'kendala', 'checklist', 'tidak', 'salah', 'otomatis', 'tidak', 'login', 'bca', 'mobile', 'mohon', 'baik', 'saran', 'tks']",Negative,Negative,Negative,Negative
UI nya masih sangat basic. Kurang bagus. Masih kalah sama BRI.,"['ui', 'masih', 'sangat', 'basic', 'kurang', 'bagus', 'masih', 'kalah', 'bri']",Negative,Negative,Negative,Negative
Yang terbaik,['baik'],Positive,Positive,Positive,Positive
Kenapa sering ngak bisa pake kalo pake paket data padahal paket masih banyak ya,"['tidak', 'pakai', 'pakai', 'paket', 'data', 'paket', 'masih', 'ya']",Negative,Positive,Positive,Positive
"Maaf nih, saya masuk ke hp baru trs download aplikasih ini,.. kenapa udh 2 hari ga dapet kode OTP yaa,.. coba dong. Perbaiki lg,. Udh 2 kali saya coba tetap ja sama, ga dapet kode OTP ny","['maaf', 'nih', 'masuk', 'hp', 'download', 'aplikasih', 'tidak', 'kode', 'otp', 'ya', 'coba', 'baik', 'kali', 'coba', 'tidak', 'kode', 'otp']",Negative,Negative,Negative,Negative
mantap,['mantap'],Positive,Positive,Positive,Positive
"Indikator bca saya merah terus padahal jaringan stabil , udh update , udh refres dan udh bersih"" knapa tidak bisa proses transaksi","['indikator', 'bca', 'merah', 'jaring', 'stabil', 'update', 'refres', 'bersih', 'knapa', 'tidak', 'proses', 'transaksi']",Negative,Negative,Positive,Negative
Mantap ini,['mantap'],Positive,Positive,Positive,Positive
trimakasih BCA...memudahkan dlm transaksi.menghemat waktu OK,"['terima', 'kasih', 'bca', 'mudah', 'transaksi', 'hemat', 'ok']",Negative,Positive,Positive,Positive
Saya suka,['suka'],Negative,Positive,Positive,Positive
Setelah di update..saat masuk ke transfer harus masukan no OTP...tpi tidak mendapatkan SMZ sudah di klik berulangkali... Bukannya menjadi lebih baik tpi mlah ga bisa di gunakan ..,"['update', 'masuk', 'transfer', 'masuk', 'no', 'otp', 'tidak', 'smz', 'klik', 'berulangkali', 'baik', 'tidak']",Negative,Negative,Negative,Negative
Pelayanan cepat dan aman,"['layan', 'cepat', 'aman']",Negative,Positive,Positive,Positive
Bagus,['bagus'],Positive,Positive,Positive,Positive
"Makin ngawur ah udah bolak balik kirim sms ngga ada kode buat masuk bca pdhal sebelum""nya bisa ngawur ttp ngga bisa masuk udah sms,pake wifi jg ngawur yg bener lah udah bener semua yg bener lah bca","['ngawur', 'ah', 'bolak', 'kirim', 'sms', 'tidak', 'kode', 'masuk', 'bca', 'ngawur', 'tidak', 'masuk', 'sms', 'pakai', 'wifi', 'ngawur', 'bca']",Negative,Negative,Negative,Negative
3x uang ilang mulu bulan ini,"['kali', 'uang', 'hilang', 'mulu']",Negative,Negative,Positive,Negative
Good,['good'],Negative,Positive,Positive,Positive
"Tiba tiba logout sendiri, padahal lagi genting banget","['logout', 'genting', 'banget']",Negative,Negative,Positive,Negative
sangat memuaskan dan sistemnya aman daei penjebolan sistem,"['sangat', 'muas', 'sistem', 'aman', 'daei', 'jebol', 'sistem']",Negative,Positive,Negative,Negative
"Mengecewakan, ada saldo dikit mau ditarik udah rp 0, potongan apa sih? Mana gaada notifikasinya kalau ada potongan jadi user gak tau kalau ada potongan, Dimana2 kalau potongan tuh ada notifikasinya. Parah duit receh di embat. Ga mungkin potongan bulanan kalau bulanan ga bakal di embat","['kecewa', 'saldo', 'dikit', 'tarik', 'rp', 'potong', 'sih', 'tidak', 'notifikasi', 'potong', 'user', 'tidak', 'tau', 'potong', 'mana', 'potong', 'tuh', 'notifikasi', 'parah', 'duit', 'receh', 'embat', 'tidak', 'potong', 'bulan', 'bulan', 'tidak', 'embat']",Negative,Negative,Negative,Negative
Sumpah ini aplikasi kntoool.. abis pulsa 10rb karna tiap login mbanking Uda kirim SMS bukannya masuk ke laman pin malah balik ke laman utama ... Mending tutup akun aja pindah bank lain... Muak aku make bca aplikasi nya GK pernah jelas,"['sumpah', 'aplikasi', 'kntoool', 'habis', 'pulsa', 'ribu', 'login', 'mbanking', 'kirim', 'sms', 'masuk', 'laman', 'pin', 'laman', 'utama', 'mending', 'tutup', 'akun', 'pindah', 'bank', 'muak', 'pakai', 'bca', 'aplikasi', 'tidak']",Negative,Negative,Negative,Negative
"Kembalikan aplikasi bca mobile yang bisa hapus riwayat Tf Dan riwayat pembayaran pakai Qris donk,please","['kembali', 'aplikasi', 'bca', 'mobile', 'hapus', 'riwayat', 'tf', 'riwayat', 'bayar', 'pakai', 'qris', 'please']",Negative,Positive,Negative,Negative
"Sangat buruk MERUGIKAN!! stiap buka apk suruh verifikasi ulang,trus kirim SMS nya ga cukup sekali sampe pulsa habis 30rb tetep blm di verifikasi.telpon customer servicenya malah ga mau ngangkat. Jangan di instal !!","['sangat', 'buruk', 'rugi', 'buka', 'aplikasi', 'suruh', 'verifikasi', 'ulang', 'kirim', 'sms', 'tidak', 'pulsa', 'habis', 'ribu', 'belum', 'verifikasi', 'telpon', 'customer', 'servicenya', 'tidak', 'ngangkat', 'instal']",Negative,Negative,Negative,Negative
setiap mau buka rekening pasti suruh verivikasi.udh gitu ga cukup sekali hari berkali kali ngirim SMS.baru di konfirmasi.aplikasi nya jelek jangan di unduh jelek banget.telpon Cust service nya aja ga mau ngangkat,"['buka', 'rekening', 'suruh', 'verivikasi', 'tidak', 'kali', 'kali', 'kirim', 'sms', 'konfirmasi', 'aplikasi', 'jelek', 'unduh', 'jelek', 'banget', 'telpon', 'cust', 'service', 'tidak', 'ngangkat']",Negative,Negative,Negative,Negative
Bgus,['bagus'],Positive,Positive,Positive,Positive
ok,['ok'],Negative,Positive,Positive,Positive
Yg terbaik buat q,"['baik', 'ku']",Negative,Positive,Positive,Positive
Ok,['ok'],Negative,Positive,Positive,Positive
Kenapa ga bisa login bca koneksi terputus terus pdhl wifi bagus,"['tidak', 'login', 'bca', 'koneksi', 'putus', 'wifi', 'bagus']",Negative,Negative,Negative,Negative
"ribet bangen anjim,,, kalo emg gk bisa bilang dari awal berbelit belit, ngabisin pulsa,, kagak efektif banget gunanya halo BCA","['ribet', 'bangen', 'anjim', 'tidak', 'bilang', 'belit', 'belit', 'ngabisin', 'pulsa', 'kagak', 'efektif', 'banget', 'guna', 'halo', 'bca']",Negative,Negative,Negative,Negative
Jadi sering gangguan,['ganggu'],Negative,Positive,Negative,Negative
Sangat memuaskan,"['sangat', 'muas']",Negative,Positive,Positive,Positive
Susah,['susah'],Negative,Positive,Negative,Negative
"Aplikasi apaan ini daftar mbanking , tinggal dklik lanjutkan , ga bisa2 tunggu lampu indikator berwarna hijau tapi ga hujau2 , buang pulsa sia2 doang , sampah","['aplikasi', 'daftar', 'mbanking', 'tinggal', 'dklik', 'lanjut', 'tidak', 'tunggu', 'lampu', 'indikator', 'warna', 'hijau', 'tidak', 'hujau', 'buang', 'pulsa', 'sia', 'doang', 'sampah']",Negative,Negative,Negative,Negative
Sangat buruk saya masuk dengan perangkat yang sama nomor juga sama. setelah hard reset malah ke deteksi maling atm di blokir ee,"['sangat', 'buruk', 'masuk', 'perangkat', 'nomor', 'hard', 'reset', 'deteksi', 'maling', 'atm', 'blokir', 'ee']",Negative,Negative,Negative,Negative
Sering error!!!!,['error'],Negative,Negative,Negative,Negative
"Saya mau bertanya,,,Saya pengguna m.bangking sejak lama justru blm tahu kali ini saya menggunakan hp versi Oppo F1S,,,ternyata hp tipe ini tidak kampotable ,,,yg saya mau tanyakan apa gk ada cara agar bisa mendawnload dari hp Oppo f1S","['guna', 'bangking', 'belum', 'kali', 'hp', 'versi', 'oppo', 'fs', 'hp', 'tipe', 'tidak', 'kampotable', 'tidak', 'mendawnload', 'hp', 'oppo', 'fs']",Negative,Positive,Negative,Negative
"PERINTAH ""SENDING"" LAMA SEKALI LOADING NYA!!!!!! -_-","['perintah', 'sending', 'loading']",Negative,Negative,Positive,Negative
Ini knpa mau aktifin m banking udah beberapa kali kirim SMS sampai pulza habis 10 rbu.. tapi tetep aja gk bisa bisa....!!!,"['aktifin', 'banking', 'kali', 'kirim', 'sms', 'pulza', 'habis', 'rbu', 'tidak']",Negative,Negative,Negative,Negative
"Mohon penjelasannya saldo Saya terpotong terus padahal tidak melakukan transaksi apapun biasa' saldo saya hbs, mohon penjelasannya","['mohon', 'jelas', 'saldo', 'potong', 'tidak', 'transaksi', 'apa', 'saldo', 'habis', 'mohon', 'jelas']",Negative,Positive,Negative,Negative
"Susah banget sekarang mau masuknya,pake kode otp,udh gitu GK dikirmx pdhl ada pulsa,kocak kocak aplikasi nih makin hari","['susah', 'banget', 'masuk', 'pakai', 'kode', 'otp', 'tidak', 'dikirmx', 'pulsa', 'kocak', 'kocak', 'aplikasi', 'nih']",Negative,Negative,Negative,Negative
Ini kenapa ya saya gabisa buka BCA mobilenya padahal saya LG urgent tapi gabisa di pencet atau di buka layanan BCA mobilenya .tolong dong di perbaiki,"['ya', 'tidak', 'buka', 'bca', 'mobilenya', 'urgent', 'tidak', 'pencet', 'buka', 'layan', 'bca', 'mobilenya', 'tolong', 'baik']",Negative,Negative,Negative,Negative
Uang Saya,['uang'],Negative,Positive,Positive,Positive
"Sekarang bca admin nya naik ya,? 🙄","['bca', 'admin', 'ya']",Negative,Positive,Positive,Positive
Mantap,['mantap'],Positive,Positive,Positive,Positive
"Kesal , disuruh tunggu untuk di hubungi cs tidak dijawab atau di anggkat call nya, mau nya apaaa ?","['kesal', 'suruh', 'tunggu', 'hubung', 'cs', 'tidak', 'anggkat', 'call']",Negative,Negative,Negative,Negative
"Buruk sekali, sya sampai harus ganti pin.sms berbayar lagi.karena tidak ada tanda untuk melihat apakah password yg dimasukkan benar atau tidak,semuanya disensor. Udah gitu,sya tidak bisa melihat saldo sya,tulisan transaksi tidak dapat dilakukan,OPO sya salah?????aplikasi bank paling gila","['buruk', 'ganti', 'pin', 'sms', 'bayar', 'tidak', 'tanda', 'password', 'masuk', 'tidak', 'sensor', 'tidak', 'saldo', 'tulis', 'transaksi', 'tidak', 'opo', 'salahaplikasi', 'bank', 'gila']",Negative,Negative,Negative,Negative
"Sinyal lancar ,, qo lampu indikator merah terus","['sinyal', 'lancar', 'lampu', 'indikator', 'merah']",Negative,Negative,Positive,Negative
"Aplikasi menyulitkan orang bekerja, mau login tiap hari selalu logout sendiri dan itupun harus pakai pulsa untuk masuknya, gak masuk akal, lebih nyaman apk sebelum update","['aplikasi', 'sulit', 'orang', 'login', 'logout', 'itu', 'pakai', 'pulsa', 'masuk', 'tidak', 'masuk', 'akal', 'nyaman', 'aplikasi', 'update']",Negative,Negative,Negative,Negative
Lupanomer kartu BCA,"['lupanomer', 'kartu', 'bca']",Negative,Positive,Positive,Positive
Qris saya tidak bisa digunakan,"['qris', 'tidak']",Negative,Negative,Negative,Negative
Top,['top'],Negative,Positive,Positive,Positive
"Kali ini, Kenapa setiap buka m-banking memakai wifi, yg muncul tulisan ""koneksi internet terputus""","['kali', 'buka', 'banking', 'pakai', 'wifi', 'muncul', 'tulis', 'koneksi', 'internet', 'putus']",Negative,Positive,Negative,Negative
Mantap,['mantap'],Positive,Positive,Positive,Positive
"ini bca kenapa ya padahal jaringan bagus tapi indikator warnanya merah trus, kalo mau transaksi jadi susah","['bca', 'ya', 'jaring', 'bagus', 'indikator', 'warna', 'merah', 'transaksi', 'susah']",Negative,Negative,Positive,Negative
Ko smenjak di update jdi gangguan terus Tolong cepat di perbaiki karna klas bank BCA elite kan,"['smenjak', 'update', 'ganggu', 'tolong', 'cepat', 'baik', 'kelas', 'bank', 'bca', 'elite']",Negative,Positive,Positive,Positive
Semakin parah BCA,"['parah', 'bca']",Negative,Negative,Negative,Negative
Aman terpecaya,"['aman', 'terpecaya']",Negative,Positive,Positive,Positive
"Ini knpa ya masa saya dalam 1 bulan potongan adminnya sampe 2 kali,awal bulan potongannya lumayan gde anh sekarang mau akhir bulan dah kena potongan lagi","['ya', 'potong', 'adminnya', 'kali', 'potong', 'lumayan', 'gede', 'anh', 'kena', 'potong']",Negative,Positive,Negative,Negative
Layanan mbca masih aktif maksudnya gmna ?,"['layan', 'mbca', 'masih', 'aktif', 'maksud']",Negative,Positive,Positive,Positive
"Tolong lah kalo kita mau vererfikasi di hp baru jangan dipersulit, hp saya sebelumnya rusak mati total & gabisa dibuka dan pas saya coba masuk mbanking di hp baru sampe 4 5 kali verifikasi sms tapi malah dibalikin lagi ke tahap awal, pulsa saya hangus semua karena sms ini & telpon cs bca yang itupun ditengah² kepotong tiba² mati, aplikasi & pelayanan lemot gak konsisten macam sampah","['tolong', 'vererfikasi', 'hp', 'sulit', 'hp', 'rusak', 'mati', 'total', 'tidak', 'buka', 'pas', 'coba', 'masuk', 'mbanking', 'hp', 'kali', 'verifikasi', 'sms', 'dibalikin', 'tahap', 'pulsa', 'hangus', 'sms', 'telpon', 'cs', 'bca', 'itu', 'tengah', 'potong', 'mati', 'aplikasi', 'layan', 'lot', 'tidak', 'konsisten', 'sampah']",Negative,Negative,Negative,Negative
"Nyusahin, gunta ganti pin segala suruh beda, di atm sma mobile, suruh beda, ganti kartu di hp malah suruh daftar ulang, nyusahin anjiir.. nyeseeeel gw pake bca","['susah', 'gunta', 'ganti', 'pin', 'suruh', 'beda', 'atm', 'mobile', 'suruh', 'beda', 'ganti', 'kartu', 'hp', 'suruh', 'daftar', 'ulang', 'susah', 'anjiir', 'nyeseeeel', 'gue', 'pakai', 'bca']",Negative,Negative,Negative,Negative
Memuaskan,['muas'],Negative,Negative,Positive,Negative
Sempat ada kendala yang bikin saya kasih rating bintang 1 tapi dah kelar.,"['kendala', 'bikin', 'kasih', 'rating', 'bintang', 'kelar']",Negative,Positive,Positive,Positive
Ok,['ok'],Negative,Positive,Positive,Positive
"parah, tiap masuk duit ada aja potongannya, bank lain mah 1 bulan sekali, kecewa berat","['parah', 'masuk', 'duit', 'potong', 'bank', 'mah', 'kecewa', 'berat']",Negative,Negative,Negative,Negative
Oke recommended,"['oke', 'recommended']",Negative,Positive,Positive,Positive
Lampu indikatornya kok merah terus,"['lampu', 'indikator', 'merah']",Negative,Positive,Positive,Positive
Sering sering kasih lebih ya,"['kasih', 'ya']",Negative,Positive,Positive,Positive
Kenapa ya koneksi terputus terus..padahal jaringan normal,"['ya', 'koneksi', 'putus', 'jaring', 'normal']",Negative,Negative,Positive,Negative
Sya menggunakan mbangking BCA sangat brguna banget. Top markotoppp👍,"['mbangking', 'bca', 'sangat', 'brguna', 'banget', 'top', 'markotoppp']",Negative,Positive,Positive,Positive
"Sangat"" membantu dlm bertransaksi apa pun..👍🙏","['sangat', 'bantu', 'transaksi']",Negative,Positive,Positive,Positive
Sangat baik dan sangat membantu,"['sangat', 'baik', 'sangat', 'bantu']",Negative,Positive,Positive,Positive
Ribet mau login aja di bikin ribet trus aja kirim SMS pulsa abis berapa ribu gak login login . Sistem lebayyyyyy. 1x aja cukup . Susah banget mau login . Mending pake Mandiri,"['ribet', 'login', 'bikin', 'ribet', 'kirim', 'sms', 'pulsa', 'habis', 'ribu', 'tidak', 'login', 'login', 'sistem', 'lebayyyyyy', 'kali', 'susah', 'banget', 'login', 'mending', 'pakai', 'mandiri']",Negative,Negative,Negative,Negative
"Sangat membantu, luar biasaa","['sangat', 'bantu']",Negative,Positive,Positive,Positive
Kacau abis di uodte force close mlu,"['kacau', 'habis', 'uodte', 'force', 'close', 'melulu']",Negative,Negative,Negative,Negative
"Baru saja donload aplikasi terbaru, lebih baik, ada fitur share bukti transaksi dan fitur donload bukti transaksi di inbox, tinggal fitur hapus inbox belum kembali Sudah bs hapus inbox di pembaruan, meskipun per 5 transaksi","['donload', 'aplikasi', 'baru', 'baik', 'fitur', 'share', 'bukti', 'transaksi', 'fitur', 'donload', 'bukti', 'transaksi', 'inbox', 'tinggal', 'fitur', 'hapus', 'inbox', 'belum', 'hapus', 'inbox', 'baru', 'transaksi']",Negative,Positive,Positive,Positive
Bagus,['bagus'],Positive,Positive,Positive,Positive
"DAPATKAN IPHONE, LOGAM EMAS MULIA, SAMSUNG DLL. DOWNLOAD IMOU INSTALLER DI PLAY STORE DAN WAJIB MASUKKAN KODE UNDANGAN: 90704582","['dapat', 'iphone', 'logam', 'emas', 'mulia', 'samsung', 'dll', 'download', 'imou', 'installer', 'play', 'store', 'wajib', 'masuk', 'kode', 'undang']",Negative,Positive,Negative,Negative
"Sorry deh bintang 1 dulu, udh 5tahun pake bca mobile baru kali ini aktivasinya ribet.. saat verifikasi wajah selalu gagal terus..","['sorry', 'deh', 'bintang', 'pakai', 'bca', 'mobile', 'kali', 'aktivasinya', 'ribet', 'verifikasi', 'wajah', 'gagal']",Negative,Negative,Negative,Negative
Untuk login ulang ribet,"['login', 'ulang', 'ribet']",Negative,Negative,Negative,Negative
Mantap,['mantap'],Positive,Positive,Positive,Positive
"Jelek banget biometriknya selalu gagal, robotic tolol,beda sama bank2 digital lainya,BCA MOBILE SAMPAH!!!!","['jelek', 'banget', 'biometriknya', 'gagal', 'robotic', 'tolol', 'beda', 'bank', 'digital', 'lai', 'bca', 'mobile', 'sampah']",Negative,Negative,Negative,Negative
Mantap...👍🏼👍🏼,['mantap'],Positive,Positive,Positive,Positive
"Lampu indikator merah terus dari kemaren,sudah di restart masih aja merah","['lampu', 'indikator', 'merah', 'kemarin', 'restart', 'masih', 'merah']",Negative,Positive,Positive,Positive
Aplikasi yang memuaskan memudahkan transaksi,"['aplikasi', 'muas', 'mudah', 'transaksi']",Negative,Positive,Positive,Positive
Sangat baik,"['sangat', 'baik']",Negative,Positive,Positive,Positive
Ga bisa transfer muter muter terus payah,"['tidak', 'transfer', 'muter', 'muter', 'payah']",Negative,Negative,Negative,Negative
"aplikasi cacat,paling cacat dan semakin cacat. . Habis""in pulsa nih apk","['aplikasi', 'cacat', 'cacat', 'cacat', 'habisin', 'pulsa', 'nih', 'aplikasi']",Negative,Negative,Negative,Negative
Mantap sudah bisa masuk di hp yng baru,"['mantap', 'masuk', 'hp']",Negative,Positive,Positive,Positive
"Abis pembaruan malah g bisa di buka,, aneh daa, close mulu","['habis', 'baru', 'tidak', 'buka', 'aneh', 'daa', 'close', 'mulu']",Negative,Negative,Negative,Negative
"Parah skrg mau daftar susah banget, kirim SMS gagal terus. Nunggu verifikasi kode ga ada pesan terus. Jelek emang skrg","['parah', 'daftar', 'susah', 'banget', 'kirim', 'sms', 'gagal', 'tunggu', 'verifikasi', 'kode', 'tidak', 'pesan', 'jelek']",Negative,Negative,Negative,Negative
udh di update tetep aja indikatornya merah tolong dong di benerin lg,"['update', 'indikator', 'merah', 'tolong', 'benerin']",Negative,Negative,Positive,Negative
Ga bisa di pakai aplikasinya biru terus padahal sinyalnya bagus,"['tidak', 'pakai', 'aplikasi', 'biru', 'sinyal', 'bagus']",Negative,Positive,Negative,Negative
"Saya pindah perangkat,tapi otp ga masuk masuk kenapa ya?","['pindah', 'perangkat', 'otp', 'tidak', 'masuk', 'masuk', 'ya']",Negative,Positive,Negative,Negative
Pas pertama buat kartu debit kan saya isi 50k kepotong 10k untuk kartu mengapa kemarin hanya ada 15k di m-info dan info saldo dan sekarang malah jadi 5k,"['pas', 'kartu', 'debit', 'isi', 'potong', 'kartu', 'kemarin', 'info', 'info', 'saldo']",Negative,Positive,Negative,Negative
Segera diperbaiki.error dari semalam,"['baik', 'error', 'malam']",Negative,Positive,Negative,Negative
"Niatnya buka rekening online biar ga ribet harus ke cabang karna ga punya waktu, ehh ternyata online juga ribet bgt. Masa surat domisili dari RT ga berlaku","['niat', 'buka', 'rekening', 'online', 'biar', 'tidak', 'ribet', 'cabang', 'tidak', 'eh', 'online', 'ribet', 'banget', 'surat', 'domisili', 'rt', 'tidak', 'laku']",Negative,Negative,Negative,Negative
Sangat membantu sekali dalam bertransaksi,"['sangat', 'bantu', 'transaksi']",Negative,Positive,Positive,Positive
malesin deh udah di update malah sering meraaahhhhh lampunya lagi buru2 jadi kehambat,"['malesin', 'deh', 'update', 'meraaahhhhh', 'lampu', 'buru', 'hambat']",Negative,Negative,Negative,Negative
Sangat mudah di gunakan,"['sangat', 'mudah']",Negative,Positive,Positive,Positive
"terimakasih BCA karena sudah mengembalikan fitur edit inbox, sangat bagus","['terima', 'kasih', 'bca', 'kembali', 'fitur', 'edit', 'inbox', 'sangat', 'bagus']",Negative,Positive,Positive,Positive
tiba bayar biaya adm tepotong 10 ribu kenapa? gajelas gak ada pemberitahuan,"['bayar', 'biaya', 'adm', 'tepotong', 'ribu', 'tidak', 'tidak', 'pemberitahuan']",Negative,Negative,Negative,Negative
Sangat membantu dan mempermudah transaksi,"['sangat', 'bantu', 'mudah', 'transaksi']",Negative,Positive,Positive,Positive
"Bagus sih, cuma skrg setiap buka m-banking tdk bisa pakai wifi hrs pakai data","['bagus', 'sih', 'buka', 'banking', 'tidak', 'pakai', 'wifi', 'pakai', 'data']",Negative,Positive,Negative,Negative
sering logout sendiri,['logout'],Negative,Negative,Positive,Negative
